State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Urban_Households,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Ownership_Owned_Households,Ownership_Rented_Households,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Television,sex_ratio,litracy_rate
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,231204,8911,289456,852574,51447,8720,138329,1160,1960,112043,110377,78113,60494,193932,82.0,76.31228385996495
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,157646,316425,54894,1277975,12413,27951,2099,985,3466,287405,13252,9042,4227,50155,102.0,46.05600485140451
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,79146,152458,11987,371973,6984,236,2387,113,10,75560,4092,6281,6573,61392,98.0,75.3018672307805
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,519704,549632,188174,2540763,57973,20745,6373,2979,2357,561313,37623,30892,13137,193337,97.0,59.939278330428145
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,148926,168689,41792,777188,10425,2644,1196,667,3612,156006,6283,4804,3069,67737,101.0,68.37284206551544
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,614109,533448,349741,3129745,83499,24304,24276,19587,17209,582952,74863,51289,28840,343369,99.0,68.88355774383709
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,76783,205670,20722,629509,15336,189588,474,467,694,179774,7347,5755,2442,20512,101.0,58.16989933882765
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,202380,206598,126055,1133176,30195,21059,3666,897,753,232642,29297,18004,8677,95963,97.0,62.05322217065571
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,80023,121852,59763,604259,25878,9398,1391,84,1155,124298,17842,7609,3402,38765,97.0,60.375282471085136
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,212487,274793,35774,1008061,12570,5284,2941,521,1495,241908,7773,5614,3546,68012,102.0,61.772987565286606
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,297308,354278,66638,1422986,17332,47653,2117,781,409,331942,19805,13857,5979,98784,99.0,63.6980717330306
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,547206,581868,377160,2239370,227465,17452,7477,121791,12260,463109,119513,96301,43536,374021,96.0,73.64642016551515
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,728556,673499,395001,3881485,103038,23181,16707,8397,17137,739497,86940,59523,30572,378113,98.0,64.71042887177549
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,253131,525596,65167,2126195,81442,97432,2303,1287,623,492651,18701,18983,8096,74614,98.0,50.33891467638691
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,49249,10006,61073,171537,16087,2618,169,216,244,14722,33493,4543,3163,28433,53.0,78.64499693994445
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,498326,489237,287506,2397056,334858,2586,1110,1291,3841,457405,57119,26991,17447,318954,95.0,67.18056550988997
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,173951,115859,209230,622213,57941,134169,618,553,546,145651,26362,56266,44342,146307,96.0,81.05788696443066
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,138810,88620,162873,341664,63623,231961,855,542,563,108881,29829,44299,35031,115535,99.0,78.43840402662141
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,1456046,353169,1845383,6042416,883238,50754,14542,4518,209287,1193694,269205,273651,174812,1159650,90.0,75.34780243200066
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,273331,313714,116899,1410463,99105,919,415,243,2053,265928,21529,12765,10236,164282,96.0,65.74201388200952
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,378310,413078,208909,1798794,250919,29789,1524,267,8591,379759,31488,32523,19352,203467,92.0,74.12527565470232
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,396873,666773,137424,2890305,213505,1686,486,281,12659,515862,33035,23149,22723,144792,94.0,54.63610709288814
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,309091,300677,181319,1188204,343511,9494,1733,442,4813,279792,44555,29531,21579,178535,93.0,72.09943914291186
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,500757,387251,356826,2632574,212863,3457,1410,445,26974,467094,61608,28925,17517,293361,93.0,65.52138357465113
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,262539,237624,195634,1319586,57273,3237,1985,497,6405,234873,41902,33662,26385,178594,92.0,74.04287973512541
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,386538,347158,299167,1810443,320805,4392,1873,1086,18856,354786,56645,30384,20471,270555,94.0,64.65079007221361
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,498326,489237,287506,2397056,334858,2586,1110,1291,3841,457405,57119,26991,17447,318954,95.0,67.18056550988997
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,403294,488293,250982,1608921,442355,6192,6353,490,25312,328271,83137,31961,28788,250397,91.0,59.851670664523645
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,372226,461479,160547,2000884,264482,26629,1403,300,3479,429236,22358,24502,12788,171342,94.0,72.18808766525284
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,385609,476005,183738,1885732,136431,1954,1082,146,7087,371860,43193,33731,25163,245131,93.0,73.83772697074883
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,101940,138121,22248,559848,22600,4413,147,80,373,115602,4801,4081,2442,31194,96.0,62.73723227460075
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,267679,267739,141417,1225087,78669,5733,2459,601,13386,262571,25882,24397,18669,153431,96.0,75.35008633708162
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,398937,463363,104238,2220974,158513,2863,662,337,5236,425072,15044,19753,9656,90896,95.0,60.26516076788457
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,223424,301483,102655,1194745,142797,916,337,66,3602,245138,19197,12870,7802,108006,94.0,62.3570587631183
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,117040,96015,87557,549749,33565,500,248,91,515,103353,16208,5639,4395,80820,95.0,67.24377358232742
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,747352,459474,721532,3397406,361388,5478,1918,1170,33591,644828,111779,67370,55289,571843,93.0,71.62608639426709
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,438606,544024,121509,2260560,148563,6375,614,168,11110,450063,22065,25425,22379,180909,95.0,65.00622377849854
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,1252452,369840,1529998,5260193,660772,21052,5703,12902,112835,788508,478407,149331,106983,788447,79.0,75.17131965714033
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,302068,340788,159810,1620282,109681,1419,512,312,22992,306924,26468,15309,10088,177591,93.0,62.269881362070024
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,29794,52102,7516,203545,3593,20029,69,32,39,46314,1291,1393,991,9262,101.0,61.749258621671466
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,798277,547454,692971,3713941,384579,23813,9340,2069,27650,771779,88479,117818,72630,497049,93.0,69.45126614823319
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,329218,262410,235981,1571147,94034,19661,1589,913,13809,297911,58586,31285,23938,188248,92.0,68.63294244282918
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,199681,175365,139891,955096,22143,3705,138202,381,4845,183898,18611,32767,26122,172034,88.0,72.49745203172775
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,266244,357047,99235,1611031,15515,873,2401,254,1016,293443,11408,25236,16793,176336,89.0,65.45775477302693
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,333171,87700,382981,1588407,161680,9743,34572,640,4883,276186,69917,82673,63470,279652,87.0,70.32744609287668
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,153301,203020,55360,779243,8360,996,150969,171,1172,162708,8832,13142,14030,107042,90.0,59.19017930788494
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,305751,141703,381988,1408801,70842,9725,15097,944,7451,211728,98060,102343,92934,248024,85.0,73.3684972319655
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,285004,302013,154113,1701061,21650,1945,12270,334,3620,295628,23078,33400,24642,202588,87.0,63.89650737328484
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,168558,211816,78328,945693,8247,734,1042,105,645,168223,12154,19241,14298,128007,86.0,70.5433506711672
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,222462,278335,89665,1276669,23016,889,29103,172,2594,227870,12316,23750,15836,160742,87.0,62.41852502563427
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,187349,231091,75696,974520,8232,1769,87558,265,351,189832,7550,15301,12792,140195,88.0,60.18119638389133
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,267223,292682,135920,1341002,31650,2049,126207,532,1516,258981,19328,29253,26238,215813,89.0,64.97026553751883
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,171908,203553,88268,805175,15970,1943,140395,214,375,162147,13063,21951,20261,143316,89.0,67.05951868802836
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,135455,223726,44216,913251,5660,301,1737,75,644,162961,3691,13908,8538,88012,89.0,68.35085154562255
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,103455,70895,93656,490702,23451,2583,40951,1008,1626,78722,24115,32174,29497,88378,87.0,72.2114831291322
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,209965,173502,153804,1083936,86622,2261,25064,289,4647,182191,32473,26719,17466,162321,86.0,65.25426048810515
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,152651,199449,69305,889133,5713,701,1804,202,1525,156650,9969,18092,12161,108753,90.0,70.74579155244955
